error_rate,ntrees,select_policy,exp_type,npublishers,nsubscribers,topo,reroute_policy,const_alg,fprob,treatment,choicerandseed,cost,failrandseed,oracle,overlap,pub_rate,randseed,reach
0.0,4,min,networkx,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.2,results/fprobs-reroute/results_4t_0.20f_20s_10p_red-blue_disjoint_topo_0.00e,4.47396243601e+18,45.1045,6.64742374741e+18,0.501,488.99,0.288,3.85111265463e+18,0.0945
0.0,4,min,networkx,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.3,results/fprobs-reroute/results_4t_0.30f_20s_10p_red-blue_disjoint_topo_0.00e,4.47396243601e+18,45.1045,6.64742374741e+18,0.2715,488.99,0.124,3.85111265463e+18,0.029
0.0,4,min,networkx,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,shortest,red-blue,0.0,results/fprobs-reroute/results_4t_0.00f_20s_10p_red-blue_shortest_topo_0.00e,4.47396243601e+18,45.1045,6.64742374741e+18,1.0,488.99,1.0,3.85111265463e+18,1.0
0.0,4,min,networkx,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,shortest,red-blue,0.05,results/fprobs-reroute/results_4t_0.05f_20s_10p_red-blue_shortest_topo_0.00e,4.47396243601e+18,45.1045,6.64742374741e+18,0.8715,488.99,0.733,3.85111265463e+18,0.515
0.0,4,min,networkx,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,shortest,red-blue,0.1,results/fprobs-reroute/results_4t_0.10f_20s_10p_red-blue_shortest_topo_0.00e,4.47396243601e+18,45.1045,6.64742374741e+18,0.7155,488.99,0.531,3.85111265463e+18,0.3
0.0,4,min,networkx,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,shortest,red-blue,0.2,results/fprobs-reroute/results_4t_0.20f_20s_10p_red-blue_shortest_topo_0.00e,4.47396243601e+18,45.1045,6.64742374741e+18,0.501,488.99,0.294,3.85111265463e+18,0.0945
0.0,4,min,networkx,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,shortest,red-blue,0.3,results/fprobs-reroute/results_4t_0.30f_20s_10p_red-blue_shortest_topo_0.00e,4.47396243601e+18,45.1045,6.64742374741e+18,0.2715,488.99,0.13,3.85111265463e+18,0.029
0.0,4,min-missing-chosen,networkx,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.0,results/fprobs-reroute/results_4t_0.00f_20s_10p_red-blue_disjoint_topo_0.00e,4.47396243601e+18,45.1045,6.64742374741e+18,1.0,488.99,1.0,3.85111265463e+18,1.0
0.0,4,min-missing-chosen,networkx,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.05,results/fprobs-reroute/results_4t_0.05f_20s_10p_red-blue_disjoint_topo_0.00e,4.47396243601e+18,45.1045,6.64742374741e+18,0.8715,488.99,0.728,3.85111265463e+18,0.774
0.0,4,min-missing-chosen,networkx,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,results/fprobs-reroute/results_4t_0.10f_20s_10p_red-blue_disjoint_topo_0.00e,4.47396243601e+18,45.1045,6.64742374741e+18,0.7155,488.99,0.529,3.85111265463e+18,0.586
0.0,4,min-missing-chosen,networkx,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.2,results/fprobs-reroute/results_4t_0.20f_20s_10p_red-blue_disjoint_topo_0.00e,4.47396243601e+18,45.1045,6.64742374741e+18,0.501,488.99,0.288,3.85111265463e+18,0.336
0.0,4,min-missing-chosen,networkx,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.3,results/fprobs-reroute/results_4t_0.30f_20s_10p_red-blue_disjoint_topo_0.00e,4.47396243601e+18,45.1045,6.64742374741e+18,0.2715,488.99,0.124,3.85111265463e+18,0.1455
0.0,4,min-missing-chosen,networkx,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,shortest,red-blue,0.0,results/fprobs-reroute/results_4t_0.00f_20s_10p_red-blue_shortest_topo_0.00e,4.47396243601e+18,45.1045,6.64742374741e+18,1.0,488.99,1.0,3.85111265463e+18,1.0
0.0,4,min-missing-chosen,networkx,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,shortest,red-blue,0.05,results/fprobs-reroute/results_4t_0.05f_20s_10p_red-blue_shortest_topo_0.00e,4.47396243601e+18,45.1045,6.64742374741e+18,0.8715,488.99,0.733,3.85111265463e+18,0.7655
0.0,4,min-missing-chosen,networkx,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,shortest,red-blue,0.1,results/fprobs-reroute/results_4t_0.10f_20s_10p_red-blue_shortest_topo_0.00e,4.47396243601e+18,45.1045,6.64742374741e+18,0.7155,488.99,0.531,3.85111265463e+18,0.565
0.0,4,min-missing-chosen,networkx,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,shortest,red-blue,0.2,results/fprobs-reroute/results_4t_0.20f_20s_10p_red-blue_shortest_topo_0.00e,4.47396243601e+18,45.1045,6.64742374741e+18,0.501,488.99,0.294,3.85111265463e+18,0.3175
0.0,4,min-missing-chosen,networkx,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,shortest,red-blue,0.3,results/fprobs-reroute/results_4t_0.30f_20s_10p_red-blue_shortest_topo_0.00e,4.47396243601e+18,45.1045,6.64742374741e+18,0.2715,488.99,0.13,3.85111265463e+18,0.144
0.0,4,oracle,networkx,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,oracle,0.0,results/fprobs-reroute/results_4t_0.00f_20s_10p_red-blue_disjoint_topo_0.00e,4.47396243601e+18,0.0,6.64742374741e+18,1.0,488.99,1.0,3.85111265463e+18,1.0
0.0,4,oracle,networkx,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,oracle,0.05,results/fprobs-reroute/results_4t_0.05f_20s_10p_red-blue_disjoint_topo_0.00e,4.47396243601e+18,0.0,6.64742374741e+18,0.8715,488.99,0.728,3.85111265463e+18,0.8715
0.0,4,oracle,networkx,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,oracle,0.1,results/fprobs-reroute/results_4t_0.10f_20s_10p_red-blue_disjoint_topo_0.00e,4.47396243601e+18,0.0,6.64742374741e+18,0.7155,488.99,0.529,3.85111265463e+18,0.7155
0.0,4,oracle,networkx,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,oracle,0.2,results/fprobs-reroute/results_4t_0.20f_20s_10p_red-blue_disjoint_topo_0.00e,4.47396243601e+18,0.0,6.64742374741e+18,0.501,488.99,0.288,3.85111265463e+18,0.501
0.0,4,oracle,networkx,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,oracle,0.3,results/fprobs-reroute/results_4t_0.30f_20s_10p_red-blue_disjoint_topo_0.00e,4.47396243601e+18,0.0,6.64742374741e+18,0.2715,488.99,0.124,3.85111265463e+18,0.2715
0.0,4,oracle,networkx,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,shortest,oracle,0.0,results/fprobs-reroute/results_4t_0.00f_20s_10p_red-blue_shortest_topo_0.00e,4.47396243601e+18,0.0,6.64742374741e+18,1.0,488.99,1.0,3.85111265463e+18,1.0
0.0,4,oracle,networkx,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,shortest,oracle,0.05,results/fprobs-reroute/results_4t_0.05f_20s_10p_red-blue_shortest_topo_0.00e,4.47396243601e+18,0.0,6.64742374741e+18,0.8715,488.99,0.733,3.85111265463e+18,0.8715
0.0,4,oracle,networkx,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,shortest,oracle,0.1,results/fprobs-reroute/results_4t_0.10f_20s_10p_red-blue_shortest_topo_0.00e,4.47396243601e+18,0.0,6.64742374741e+18,0.7155,488.99,0.531,3.85111265463e+18,0.7155
0.0,4,oracle,networkx,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,shortest,oracle,0.2,results/fprobs-reroute/results_4t_0.20f_20s_10p_red-blue_shortest_topo_0.00e,4.47396243601e+18,0.0,6.64742374741e+18,0.501,488.99,0.294,3.85111265463e+18,0.501
0.0,4,oracle,networkx,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,shortest,oracle,0.3,results/fprobs-reroute/results_4t_0.30f_20s_10p_red-blue_shortest_topo_0.00e,4.47396243601e+18,0.0,6.64742374741e+18,0.2715,488.99,0.13,3.85111265463e+18,0.2715
0.0,4,unicast,networkx,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,unicast,0.0,results/fprobs-reroute/results_4t_0.00f_20s_10p_red-blue_disjoint_topo_0.00e,4.47396243601e+18,78.43,6.64742374741e+18,1.0,488.99,1.0,3.85111265463e+18,1.0
0.0,4,unicast,networkx,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,unicast,0.05,results/fprobs-reroute/results_4t_0.05f_20s_10p_red-blue_disjoint_topo_0.00e,4.47396243601e+18,78.43,6.64742374741e+18,0.8715,488.99,0.728,3.85111265463e+18,0.7425
0.0,4,unicast,networkx,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,unicast,0.1,results/fprobs-reroute/results_4t_0.10f_20s_10p_red-blue_disjoint_topo_0.00e,4.47396243601e+18,78.43,6.64742374741e+18,0.7155,488.99,0.529,3.85111265463e+18,0.54
0.0,4,unicast,networkx,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,unicast,0.2,results/fprobs-reroute/results_4t_0.20f_20s_10p_red-blue_disjoint_topo_0.00e,4.47396243601e+18,78.43,6.64742374741e+18,0.501,488.99,0.288,3.85111265463e+18,0.301
0.0,4,unicast,networkx,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,unicast,0.3,results/fprobs-reroute/results_4t_0.30f_20s_10p_red-blue_disjoint_topo_0.00e,4.47396243601e+18,78.43,6.64742374741e+18,0.2715,488.99,0.124,3.85111265463e+18,0.1405
0.0,4,unicast,networkx,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,shortest,unicast,0.0,results/fprobs-reroute/results_4t_0.00f_20s_10p_red-blue_shortest_topo_0.00e,4.47396243601e+18,78.43,6.64742374741e+18,1.0,488.99,1.0,3.85111265463e+18,1.0
0.0,4,unicast,networkx,10,20,topos/cloud_campus_topo_40b-5h-10ibl.json,shortest,unicast,0.05,results/fprobs-reroute/results_4t_0.05f_20s_10p_red-blue_shortest_topo_0.00e,4.47396243601e+18,78.43,6.64742374741e+18,0.8715,488.99,0.733,3.85111265463e+18,0.7425
