topo,ntrees,select_policy,exp_type,npublishers,nsubscribers,treatment,const_alg,fprob,choicerandseed,cost_scaled,cost,failrandseed,oracle,randseed,reach
campus_topo_200b-20h-20ibl.json,4,importance-chosen,networkx,200,50,old_results_networkx/results3/nhosts/results_4t_0.10f_50s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,-2.16E+18,3.56E+00,104.619,-8.03E+18,0.72,7.15E+18,0.5884
campus_topo_200b-20h-20ibl.json,4,importance-chosen,networkx,200,50,old_results_networkx/results3/nhosts/results_4t_0.10f_50s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,-5.73E+18,3.31E+00,105.5615,2.65E+18,0.741,-7.11E+18,0.638
campus_topo_200b-20h-20ibl.json,4,importance-chosen,networkx,200,50,old_results_networkx/results3/nhosts/results_4t_0.10f_50s_200p_steiner_200b-20h-20ibl,steiner,0.1,-5.73E+18,3.35E+00,104.4995,2.65E+18,0.741,-7.11E+18,0.623
campus_topo_200b-20h-20ibl.json,4,importance-chosen,networkx,200,100,old_results_networkx/results3/nhosts/results_4t_0.10f_100s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,-2.16E+18,3.22E+00,192.204,-8.03E+18,0.7246,7.15E+18,0.5964
campus_topo_200b-20h-20ibl.json,4,importance-chosen,networkx,200,100,old_results_networkx/results3/nhosts/results_4t_0.10f_100s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,-5.73E+18,3.06E+00,192.7715,2.65E+18,0.7309,-7.11E+18,0.63
campus_topo_200b-20h-20ibl.json,4,importance-chosen,networkx,200,100,old_results_networkx/results3/nhosts/results_4t_0.10f_100s_200p_steiner_200b-20h-20ibl,steiner,0.1,-5.73E+18,3.10E+00,190.6785,2.65E+18,0.7309,-7.11E+18,0.6146
campus_topo_200b-20h-20ibl.json,4,importance-chosen,networkx,200,200,old_results_networkx/results3/nhosts/results_4t_0.10f_200s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,-2.16E+18,2.80E+00,341.681,-8.03E+18,0.7208,7.15E+18,0.6109
campus_topo_200b-20h-20ibl.json,4,importance-chosen,networkx,200,200,old_results_networkx/results3/nhosts/results_4t_0.10f_200s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,-5.73E+18,2.72E+00,343.4965,2.65E+18,0.72985,-7.11E+18,0.63135
campus_topo_200b-20h-20ibl.json,4,importance-chosen,networkx,200,200,old_results_networkx/results3/nhosts/results_4t_0.10f_200s_200p_steiner_200b-20h-20ibl,steiner,0.1,-5.73E+18,2.74E+00,340.416,2.65E+18,0.72985,-7.11E+18,0.62065
campus_topo_200b-20h-20ibl.json,4,importance-chosen,networkx,200,400,old_results_networkx/results3/nhosts/results_4t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,-2.16E+18,2.44E+00,589.362,-8.03E+18,0.72605,7.15E+18,0.60345
campus_topo_200b-20h-20ibl.json,4,importance-chosen,networkx,200,400,old_results_networkx/results3/nhosts/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,-5.73E+18,2.34E+00,590.437,2.65E+18,0.735425,-7.11E+18,0.631775
campus_topo_200b-20h-20ibl.json,4,importance-chosen,networkx,200,400,old_results_networkx/results3/nhosts/results_4t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,-5.73E+18,2.30E+00,586.56,2.65E+18,0.735425,-7.11E+18,0.638675
campus_topo_200b-20h-20ibl.json,4,importance-chosen,networkx,200,800,old_results_networkx/results3/nhosts/results_4t_0.10f_800s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,-2.16E+18,2.15E+00,1010.637,-8.03E+18,0.7279,7.15E+18,0.5866
campus_topo_200b-20h-20ibl.json,4,importance-chosen,networkx,200,800,old_results_networkx/results3/nhosts/results_4t_0.10f_800s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,-5.73E+18,2.00E+00,1011.297,2.65E+18,0.7327375,-7.11E+18,0.630825
campus_topo_200b-20h-20ibl.json,4,importance-chosen,networkx,200,800,old_results_networkx/results3/nhosts/results_4t_0.10f_800s_200p_steiner_200b-20h-20ibl,steiner,0.1,-5.73E+18,2.00E+00,1007.556,2.65E+18,0.7327375,-7.11E+18,0.63035
campus_topo_200b-20h-20ibl.json,4,max,networkx,200,50,old_results_networkx/results3/nhosts/results_4t_0.10f_50s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,-2.16E+18,3.36E+00,104.619,-8.03E+18,0.72,7.15E+18,0.6232
campus_topo_200b-20h-20ibl.json,4,max,networkx,200,50,old_results_networkx/results3/nhosts/results_4t_0.10f_50s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,-5.73E+18,3.16E+00,105.5615,2.65E+18,0.741,-7.11E+18,0.6684
campus_topo_200b-20h-20ibl.json,4,max,networkx,200,50,old_results_networkx/results3/nhosts/results_4t_0.10f_50s_200p_steiner_200b-20h-20ibl,steiner,0.1,-5.73E+18,3.19E+00,104.4995,2.65E+18,0.741,-7.11E+18,0.6544
campus_topo_200b-20h-20ibl.json,4,max,networkx,200,100,old_results_networkx/results3/nhosts/results_4t_0.10f_100s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,-2.16E+18,3.08E+00,192.204,-8.03E+18,0.7246,7.15E+18,0.6246
campus_topo_200b-20h-20ibl.json,4,max,networkx,200,100,old_results_networkx/results3/nhosts/results_4t_0.10f_100s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,-5.73E+18,2.94E+00,192.7715,2.65E+18,0.7309,-7.11E+18,0.6551
campus_topo_200b-20h-20ibl.json,4,max,networkx,200,100,old_results_networkx/results3/nhosts/results_4t_0.10f_100s_200p_steiner_200b-20h-20ibl,steiner,0.1,-5.73E+18,2.99E+00,190.6785,2.65E+18,0.7309,-7.11E+18,0.6383
campus_topo_200b-20h-20ibl.json,4,max,networkx,200,200,old_results_networkx/results3/nhosts/results_4t_0.10f_200s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,-2.16E+18,2.71E+00,341.681,-8.03E+18,0.7208,7.15E+18,0.6296
campus_topo_200b-20h-20ibl.json,4,max,networkx,200,200,old_results_networkx/results3/nhosts/results_4t_0.10f_200s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,-5.73E+18,2.64E+00,343.4965,2.65E+18,0.72985,-7.11E+18,0.64955
campus_topo_200b-20h-20ibl.json,4,max,networkx,200,200,old_results_networkx/results3/nhosts/results_4t_0.10f_200s_200p_steiner_200b-20h-20ibl,steiner,0.1,-5.73E+18,2.66E+00,340.416,2.65E+18,0.72985,-7.11E+18,0.6393
campus_topo_200b-20h-20ibl.json,4,max,networkx,200,400,old_results_networkx/results3/nhosts/results_4t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,-2.16E+18,2.39E+00,589.362,-8.03E+18,0.72605,7.15E+18,0.61695
campus_topo_200b-20h-20ibl.json,4,max,networkx,200,400,old_results_networkx/results3/nhosts/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,-5.73E+18,2.26E+00,590.437,2.65E+18,0.735425,-7.11E+18,0.6535
campus_topo_200b-20h-20ibl.json,4,max,networkx,200,400,old_results_networkx/results3/nhosts/results_4t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,-5.73E+18,2.26E+00,586.56,2.65E+18,0.735425,-7.11E+18,0.650225
campus_topo_200b-20h-20ibl.json,4,max,networkx,200,800,old_results_networkx/results3/nhosts/results_4t_0.10f_800s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,-2.16E+18,2.07E+00,1010.637,-8.03E+18,0.7279,7.15E+18,0.6092
campus_topo_200b-20h-20ibl.json,4,max,networkx,200,800,old_results_networkx/results3/nhosts/results_4t_0.10f_800s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,-5.73E+18,1.95E+00,1011.297,2.65E+18,0.7327375,-7.11E+18,0.6494
campus_topo_200b-20h-20ibl.json,4,max,networkx,200,800,old_results_networkx/results3/nhosts/results_4t_0.10f_800s_200p_steiner_200b-20h-20ibl,steiner,0.1,-5.73E+18,1.94E+00,1007.556,2.65E+18,0.7327375,-7.11E+18,0.64765
campus_topo_200b-20h-20ibl.json,4,max-overlap-chosen,networkx,200,50,old_results_networkx/results3/nhosts/results_4t_0.10f_50s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,-2.16E+18,3.56E+00,104.619,-8.03E+18,0.72,7.15E+18,0.588
campus_topo_200b-20h-20ibl.json,4,max-overlap-chosen,networkx,200,50,old_results_networkx/results3/nhosts/results_4t_0.10f_50s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,-5.73E+18,3.37E+00,105.5615,2.65E+18,0.741,-7.11E+18,0.6258
campus_topo_200b-20h-20ibl.json,4,max-overlap-chosen,networkx,200,50,old_results_networkx/results3/nhosts/results_4t_0.10f_50s_200p_steiner_200b-20h-20ibl,steiner,0.1,-5.73E+18,3.47E+00,104.4995,2.65E+18,0.741,-7.11E+18,0.602
campus_topo_200b-20h-20ibl.json,4,max-overlap-chosen,networkx,200,100,old_results_networkx/results3/nhosts/results_4t_0.10f_100s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,-2.16E+18,3.25E+00,192.204,-8.03E+18,0.7246,7.15E+18,0.592
campus_topo_200b-20h-20ibl.json,4,max-overlap-chosen,networkx,200,100,old_results_networkx/results3/nhosts/results_4t_0.10f_100s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,-5.73E+18,3.10E+00,192.7715,2.65E+18,0.7309,-7.11E+18,0.6216
campus_topo_200b-20h-20ibl.json,4,max-overlap-chosen,networkx,200,100,old_results_networkx/results3/nhosts/results_4t_0.10f_100s_200p_steiner_200b-20h-20ibl,steiner,0.1,-5.73E+18,3.20E+00,190.6785,2.65E+18,0.7309,-7.11E+18,0.5955
campus_topo_200b-20h-20ibl.json,4,max-overlap-chosen,networkx,200,200,old_results_networkx/results3/nhosts/results_4t_0.10f_200s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,-2.16E+18,2.95E+00,341.681,-8.03E+18,0.7208,7.15E+18,0.5788
campus_topo_200b-20h-20ibl.json,4,max-overlap-chosen,networkx,200,200,old_results_networkx/results3/nhosts/results_4t_0.10f_200s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,-5.73E+18,2.82E+00,343.4965,2.65E+18,0.72985,-7.11E+18,0.6096
campus_topo_200b-20h-20ibl.json,4,max-overlap-chosen,networkx,200,200,old_results_networkx/results3/nhosts/results_4t_0.10f_200s_200p_steiner_200b-20h-20ibl,steiner,0.1,-5.73E+18,2.89E+00,340.416,2.65E+18,0.72985,-7.11E+18,0.58965
campus_topo_200b-20h-20ibl.json,4,max-overlap-chosen,networkx,200,400,old_results_networkx/results3/nhosts/results_4t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,-2.16E+18,2.59E+00,589.362,-8.03E+18,0.72605,7.15E+18,0.56805
campus_topo_200b-20h-20ibl.json,4,max-overlap-chosen,networkx,200,400,old_results_networkx/results3/nhosts/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,-5.73E+18,2.42E+00,590.437,2.65E+18,0.735425,-7.11E+18,0.608725
campus_topo_200b-20h-20ibl.json,4,max-overlap-chosen,networkx,200,400,old_results_networkx/results3/nhosts/results_4t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,-5.73E+18,2.51E+00,586.56,2.65E+18,0.735425,-7.11E+18,0.583125
campus_topo_200b-20h-20ibl.json,4,max-overlap-chosen,networkx,200,800,old_results_networkx/results3/nhosts/results_4t_0.10f_800s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,-2.16E+18,2.26E+00,1010.637,-8.03E+18,0.7279,7.15E+18,0.559375
campus_topo_200b-20h-20ibl.json,4,max-overlap-chosen,networkx,200,800,old_results_networkx/results3/nhosts/results_4t_0.10f_800s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,-5.73E+18,2.10E+00,1011.297,2.65E+18,0.7327375,-7.11E+18,0.601775
campus_topo_200b-20h-20ibl.json,4,max-overlap-chosen,networkx,200,800,old_results_networkx/results3/nhosts/results_4t_0.10f_800s_200p_steiner_200b-20h-20ibl,steiner,0.1,-5.73E+18,2.14E+00,1007.556,2.65E+18,0.7327375,-7.11E+18,0.5895625
campus_topo_200b-20h-20ibl.json,4,max-reachable-chosen,networkx,200,50,old_results_networkx/results3/nhosts/results_4t_0.10f_50s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,-2.16E+18,3.88E+00,104.619,-8.03E+18,0.72,7.15E+18,0.5388
campus_topo_200b-20h-20ibl.json,4,max-reachable-chosen,networkx,200,50,old_results_networkx/results3/nhosts/results_4t_0.10f_50s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,-5.73E+18,3.73E+00,105.5615,2.65E+18,0.741,-7.11E+18,0.5656
campus_topo_200b-20h-20ibl.json,4,max-reachable-chosen,networkx,200,50,old_results_networkx/results3/nhosts/results_4t_0.10f_50s_200p_steiner_200b-20h-20ibl,steiner,0.1,-5.73E+18,3.66E+00,104.4995,2.65E+18,0.741,-7.11E+18,0.5706
campus_topo_200b-20h-20ibl.json,4,max-reachable-chosen,networkx,200,100,old_results_networkx/results3/nhosts/results_4t_0.10f_100s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,-2.16E+18,3.34E+00,192.204,-8.03E+18,0.7246,7.15E+18,0.5756
campus_topo_200b-20h-20ibl.json,4,max-reachable-chosen,networkx,200,100,old_results_networkx/results3/nhosts/results_4t_0.10f_100s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,-5.73E+18,3.50E+00,192.7715,2.65E+18,0.7309,-7.11E+18,0.5508
campus_topo_200b-20h-20ibl.json,4,max-reachable-chosen,networkx,200,100,old_results_networkx/results3/nhosts/results_4t_0.10f_100s_200p_steiner_200b-20h-20ibl,steiner,0.1,-5.73E+18,3.34E+00,190.6785,2.65E+18,0.7309,-7.11E+18,0.5701
campus_topo_200b-20h-20ibl.json,4,max-reachable-chosen,networkx,200,200,old_results_networkx/results3/nhosts/results_4t_0.10f_200s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,-2.16E+18,2.84E+00,341.681,-8.03E+18,0.7208,7.15E+18,0.6008
campus_topo_200b-20h-20ibl.json,4,max-reachable-chosen,networkx,200,200,old_results_networkx/results3/nhosts/results_4t_0.10f_200s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,-5.73E+18,2.87E+00,343.4965,2.65E+18,0.72985,-7.11E+18,0.59915
campus_topo_200b-20h-20ibl.json,4,max-reachable-chosen,networkx,200,200,old_results_networkx/results3/nhosts/results_4t_0.10f_200s_200p_steiner_200b-20h-20ibl,steiner,0.1,-5.73E+18,2.91E+00,340.416,2.65E+18,0.72985,-7.11E+18,0.58555
