topo,ntrees,select_policy,exp_type,npublishers,nsubscribers,treatment,const_alg,fprob,choicerandseed,failrandseed,oracle,randseed,reach
campus_topo_200b-20h-20ibl.json,8,max-overlap-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_8t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.5641
campus_topo_200b-20h-20ibl.json,8,max-reachable-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_8t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.56665
campus_topo_200b-20h-20ibl.json,8,mean,networkx,200,400,old_results_networkx/results2/ntrees/results_8t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.4674625
campus_topo_200b-20h-20ibl.json,8,min,networkx,200,400,old_results_networkx/results2/ntrees/results_8t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.2777
campus_topo_200b-20h-20ibl.json,8,min-missing-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_8t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.55835
campus_topo_200b-20h-20ibl.json,16,importance-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_16t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.6145
campus_topo_200b-20h-20ibl.json,16,max,networkx,200,400,old_results_networkx/results2/ntrees/results_16t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.6322
campus_topo_200b-20h-20ibl.json,16,max-overlap-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_16t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.55725
campus_topo_200b-20h-20ibl.json,16,max-reachable-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_16t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.57545
campus_topo_200b-20h-20ibl.json,16,mean,networkx,200,400,old_results_networkx/results2/ntrees/results_16t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.463278125
campus_topo_200b-20h-20ibl.json,16,min,networkx,200,400,old_results_networkx/results2/ntrees/results_16t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.23355
campus_topo_200b-20h-20ibl.json,16,min-missing-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_16t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,6.67984480799e+17,8.85366512103e+18,0.68875,-1.42627391268e+18,0.55535
