topo,ntrees,select_policy,exp_type,npublishers,nsubscribers,treatment,const_alg,fprob,choicerandseed,cost,failrandseed,oracle,randseed,reach
campus_topo_200b-20h-20ibl.json,1,oracle,networkx,200,400,old_results_networkx/results2/ntrees/results_1t_0.10f_400s_200p_red-blue_200b-20h-20ibl,oracle,0.1,6.67984480799e+17,0.0,8.85366512103e+18,0.68875,-1.42627391268e+18,0.68875
campus_topo_200b-20h-20ibl.json,1,oracle,networkx,200,400,old_results_networkx/results2/ntrees/results_1t_0.10f_400s_200p_steiner_200b-20h-20ibl,oracle,0.1,6.67984480799e+17,0.0,8.85366512103e+18,0.68875,-1.42627391268e+18,0.68875
campus_topo_200b-20h-20ibl.json,1,unicast,networkx,200,400,old_results_networkx/results2/ntrees/results_1t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl,unicast,0.1,6.67984480799e+17,1518.06,8.85366512103e+18,0.68875,-1.42627391268e+18,0.5239
campus_topo_200b-20h-20ibl.json,1,unicast,networkx,200,400,old_results_networkx/results2/ntrees/results_1t_0.10f_400s_200p_red-blue_200b-20h-20ibl,unicast,0.1,6.67984480799e+17,1518.06,8.85366512103e+18,0.68875,-1.42627391268e+18,0.5239
campus_topo_200b-20h-20ibl.json,1,unicast,networkx,200,400,old_results_networkx/results2/ntrees/results_1t_0.10f_400s_200p_steiner_200b-20h-20ibl,unicast,0.1,6.67984480799e+17,1518.06,8.85366512103e+18,0.68875,-1.42627391268e+18,0.5239
campus_topo_200b-20h-20ibl.json,2,importance-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_2t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,6.67984480799e+17,580.08,8.85366512103e+18,0.68875,-1.42627391268e+18,0.5654
campus_topo_200b-20h-20ibl.json,2,importance-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_2t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,6.67984480799e+17,583.672,8.85366512103e+18,0.68875,-1.42627391268e+18,0.5817
campus_topo_200b-20h-20ibl.json,2,importance-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_2t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,6.67984480799e+17,586.306,8.85366512103e+18,0.68875,-1.42627391268e+18,0.53435
campus_topo_200b-20h-20ibl.json,2,max,networkx,200,400,old_results_networkx/results2/ntrees/results_2t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,6.67984480799e+17,580.08,8.85366512103e+18,0.68875,-1.42627391268e+18,0.59785
campus_topo_200b-20h-20ibl.json,2,max,networkx,200,400,old_results_networkx/results2/ntrees/results_2t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,6.67984480799e+17,583.672,8.85366512103e+18,0.68875,-1.42627391268e+18,0.60435
campus_topo_200b-20h-20ibl.json,2,max,networkx,200,400,old_results_networkx/results2/ntrees/results_2t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,6.67984480799e+17,586.306,8.85366512103e+18,0.68875,-1.42627391268e+18,0.54105
campus_topo_200b-20h-20ibl.json,2,max-overlap-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_2t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,6.67984480799e+17,580.08,8.85366512103e+18,0.68875,-1.42627391268e+18,0.5654
campus_topo_200b-20h-20ibl.json,2,max-overlap-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_2t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,6.67984480799e+17,583.672,8.85366512103e+18,0.68875,-1.42627391268e+18,0.57835
campus_topo_200b-20h-20ibl.json,2,max-overlap-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_2t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,6.67984480799e+17,586.306,8.85366512103e+18,0.68875,-1.42627391268e+18,0.52385
campus_topo_200b-20h-20ibl.json,2,max-reachable-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_2t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,6.67984480799e+17,580.08,8.85366512103e+18,0.68875,-1.42627391268e+18,0.5703
campus_topo_200b-20h-20ibl.json,2,max-reachable-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_2t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,6.67984480799e+17,583.672,8.85366512103e+18,0.68875,-1.42627391268e+18,0.58225
campus_topo_200b-20h-20ibl.json,2,max-reachable-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_2t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,6.67984480799e+17,586.306,8.85366512103e+18,0.68875,-1.42627391268e+18,0.52385
campus_topo_200b-20h-20ibl.json,2,mean,networkx,200,400,old_results_networkx/results2/ntrees/results_2t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,6.67984480799e+17,580.08,8.85366512103e+18,0.68875,-1.42627391268e+18,0.4883
campus_topo_200b-20h-20ibl.json,2,mean,networkx,200,400,old_results_networkx/results2/ntrees/results_2t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,6.67984480799e+17,583.672,8.85366512103e+18,0.68875,-1.42627391268e+18,0.495425
campus_topo_200b-20h-20ibl.json,2,mean,networkx,200,400,old_results_networkx/results2/ntrees/results_2t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,6.67984480799e+17,586.306,8.85366512103e+18,0.68875,-1.42627391268e+18,0.398925
campus_topo_200b-20h-20ibl.json,2,min,networkx,200,400,old_results_networkx/results2/ntrees/results_2t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,6.67984480799e+17,580.08,8.85366512103e+18,0.68875,-1.42627391268e+18,0.37875
campus_topo_200b-20h-20ibl.json,2,min,networkx,200,400,old_results_networkx/results2/ntrees/results_2t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,6.67984480799e+17,583.672,8.85366512103e+18,0.68875,-1.42627391268e+18,0.3865
campus_topo_200b-20h-20ibl.json,2,min,networkx,200,400,old_results_networkx/results2/ntrees/results_2t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,6.67984480799e+17,586.306,8.85366512103e+18,0.68875,-1.42627391268e+18,0.2568
campus_topo_200b-20h-20ibl.json,2,min-missing-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_2t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,6.67984480799e+17,580.08,8.85366512103e+18,0.68875,-1.42627391268e+18,0.5654
campus_topo_200b-20h-20ibl.json,2,min-missing-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_2t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,6.67984480799e+17,583.672,8.85366512103e+18,0.68875,-1.42627391268e+18,0.57875
campus_topo_200b-20h-20ibl.json,2,min-missing-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_2t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,6.67984480799e+17,586.306,8.85366512103e+18,0.68875,-1.42627391268e+18,0.52385
campus_topo_200b-20h-20ibl.json,2,oracle,networkx,200,400,old_results_networkx/results2/ntrees/results_2t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl,oracle,0.1,6.67984480799e+17,0.0,8.85366512103e+18,0.68875,-1.42627391268e+18,0.68875
campus_topo_200b-20h-20ibl.json,2,oracle,networkx,200,400,old_results_networkx/results2/ntrees/results_2t_0.10f_400s_200p_red-blue_200b-20h-20ibl,oracle,0.1,6.67984480799e+17,0.0,8.85366512103e+18,0.68875,-1.42627391268e+18,0.68875
campus_topo_200b-20h-20ibl.json,2,oracle,networkx,200,400,old_results_networkx/results2/ntrees/results_2t_0.10f_400s_200p_steiner_200b-20h-20ibl,oracle,0.1,6.67984480799e+17,0.0,8.85366512103e+18,0.68875,-1.42627391268e+18,0.68875
campus_topo_200b-20h-20ibl.json,2,unicast,networkx,200,400,old_results_networkx/results2/ntrees/results_2t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl,unicast,0.1,6.67984480799e+17,1518.06,8.85366512103e+18,0.68875,-1.42627391268e+18,0.5239
campus_topo_200b-20h-20ibl.json,2,unicast,networkx,200,400,old_results_networkx/results2/ntrees/results_2t_0.10f_400s_200p_red-blue_200b-20h-20ibl,unicast,0.1,6.67984480799e+17,1518.06,8.85366512103e+18,0.68875,-1.42627391268e+18,0.5239
campus_topo_200b-20h-20ibl.json,2,unicast,networkx,200,400,old_results_networkx/results2/ntrees/results_2t_0.10f_400s_200p_steiner_200b-20h-20ibl,unicast,0.1,6.67984480799e+17,1518.06,8.85366512103e+18,0.68875,-1.42627391268e+18,0.5239
campus_topo_200b-20h-20ibl.json,4,importance-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,6.67984480799e+17,588.769,8.85366512103e+18,0.68875,-1.42627391268e+18,0.5864
campus_topo_200b-20h-20ibl.json,4,importance-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,6.67984480799e+17,589.868,8.85366512103e+18,0.68875,-1.42627391268e+18,0.5913
campus_topo_200b-20h-20ibl.json,4,importance-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,6.67984480799e+17,585.717,8.85366512103e+18,0.68875,-1.42627391268e+18,0.5811
campus_topo_200b-20h-20ibl.json,4,max,networkx,200,400,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,6.67984480799e+17,588.769,8.85366512103e+18,0.68875,-1.42627391268e+18,0.59825
campus_topo_200b-20h-20ibl.json,4,max,networkx,200,400,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,6.67984480799e+17,589.868,8.85366512103e+18,0.68875,-1.42627391268e+18,0.62385
campus_topo_200b-20h-20ibl.json,4,max,networkx,200,400,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,6.67984480799e+17,585.717,8.85366512103e+18,0.68875,-1.42627391268e+18,0.59935
campus_topo_200b-20h-20ibl.json,4,max-overlap-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,6.67984480799e+17,588.769,8.85366512103e+18,0.68875,-1.42627391268e+18,0.53705
campus_topo_200b-20h-20ibl.json,4,max-overlap-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,6.67984480799e+17,589.868,8.85366512103e+18,0.68875,-1.42627391268e+18,0.55795
campus_topo_200b-20h-20ibl.json,4,max-overlap-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,6.67984480799e+17,585.717,8.85366512103e+18,0.68875,-1.42627391268e+18,0.5614
campus_topo_200b-20h-20ibl.json,4,max-reachable-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,6.67984480799e+17,588.769,8.85366512103e+18,0.68875,-1.42627391268e+18,0.544
campus_topo_200b-20h-20ibl.json,4,max-reachable-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,6.67984480799e+17,589.868,8.85366512103e+18,0.68875,-1.42627391268e+18,0.5525
campus_topo_200b-20h-20ibl.json,4,max-reachable-chosen,networkx,200,400,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,6.67984480799e+17,585.717,8.85366512103e+18,0.68875,-1.42627391268e+18,0.5587
campus_topo_200b-20h-20ibl.json,4,mean,networkx,200,400,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,6.67984480799e+17,588.769,8.85366512103e+18,0.68875,-1.42627391268e+18,0.4956
