error_rate,ntrees,seq,select_policy,exp_type,npublishers,nsubscribers,topo,reroute_policy,const_alg,fprob,treatment,reachability,rcv_rate
0.0,4,2,importance,mininet,40,40,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,final_results/results/npubs-reroute/outputs_4t_0.10f_40s_40p_red-blue_disjoint_topo_0.00e_importance,0.708611111111,0.401388888889
0.0,4,3,importance,mininet,40,40,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,final_results/results/npubs-reroute/outputs_4t_0.10f_40s_40p_red-blue_disjoint_topo_0.00e_importance,0.591666666667,0.354722222222
0.0,4,4,importance,mininet,40,40,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,final_results/results/npubs-reroute/outputs_4t_0.10f_40s_40p_red-blue_disjoint_topo_0.00e_importance,0.595277777778,0.280277777778
0.0,4,0,importance,mininet,40,40,topos/cloud_campus_topo_40b-5h-10ibl.json,shortest,red-blue,0.1,final_results/results/npubs-reroute/outputs_4t_0.10f_40s_40p_red-blue_shortest_topo_0.00e_importance,0.998333333333,0.485
0.0,4,1,importance,mininet,40,40,topos/cloud_campus_topo_40b-5h-10ibl.json,shortest,red-blue,0.1,final_results/results/npubs-reroute/outputs_4t_0.10f_40s_40p_red-blue_shortest_topo_0.00e_importance,0.680277777778,0.538055555556
0.0,4,2,importance,mininet,40,40,topos/cloud_campus_topo_40b-5h-10ibl.json,shortest,red-blue,0.1,final_results/results/npubs-reroute/outputs_4t_0.10f_40s_40p_red-blue_shortest_topo_0.00e_importance,0.706944444444,0.414166666667
0.0,4,3,importance,mininet,40,40,topos/cloud_campus_topo_40b-5h-10ibl.json,shortest,red-blue,0.1,final_results/results/npubs-reroute/outputs_4t_0.10f_40s_40p_red-blue_shortest_topo_0.00e_importance,0.591944444444,0.355555555556
0.0,4,4,importance,mininet,40,40,topos/cloud_campus_topo_40b-5h-10ibl.json,shortest,red-blue,0.1,final_results/results/npubs-reroute/outputs_4t_0.10f_40s_40p_red-blue_shortest_topo_0.00e_importance,0.593333333333,0.285
0.0,4,0,importance,mininet,80,40,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,final_results/results/npubs-reroute/outputs_4t_0.10f_40s_80p_red-blue_disjoint_topo_0.00e_importance,1.0,0.235277777778
0.0,4,1,importance,mininet,80,40,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,final_results/results/npubs-reroute/outputs_4t_0.10f_40s_80p_red-blue_disjoint_topo_0.00e_importance,0.280555555556,0.147083333333
0.0,4,2,importance,mininet,80,40,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,final_results/results/npubs-reroute/outputs_4t_0.10f_40s_80p_red-blue_disjoint_topo_0.00e_importance,0.695555555556,0.231388888889
0.0,4,3,importance,mininet,80,40,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,final_results/results/npubs-reroute/outputs_4t_0.10f_40s_80p_red-blue_disjoint_topo_0.00e_importance,0.612777777778,0.144305555556
0.0,4,4,importance,mininet,80,40,topos/cloud_campus_topo_40b-5h-10ibl.json,disjoint,red-blue,0.1,final_results/results/npubs-reroute/outputs_4t_0.10f_40s_80p_red-blue_disjoint_topo_0.00e_importance,0.592222222222,0.141805555556
0.0,4,0,importance,mininet,80,40,topos/cloud_campus_topo_40b-5h-10ibl.json,shortest,red-blue,0.1,final_results/results/npubs-reroute/outputs_4t_0.10f_40s_80p_red-blue_shortest_topo_0.00e_importance,1.0,0.235972222222
0.0,4,1,importance,mininet,80,40,topos/cloud_campus_topo_40b-5h-10ibl.json,shortest,red-blue,0.1,final_results/results/npubs-reroute/outputs_4t_0.10f_40s_80p_red-blue_shortest_topo_0.00e_importance,0.539444444444,0.207777777778
0.0,4,2,importance,mininet,80,40,topos/cloud_campus_topo_40b-5h-10ibl.json,shortest,red-blue,0.1,final_results/results/npubs-reroute/outputs_4t_0.10f_40s_80p_red-blue_shortest_topo_0.00e_importance,0.699166666667,0.232777777778
0.0,4,3,importance,mininet,80,40,topos/cloud_campus_topo_40b-5h-10ibl.json,shortest,red-blue,0.1,final_results/results/npubs-reroute/outputs_4t_0.10f_40s_80p_red-blue_shortest_topo_0.00e_importance,0.59,0.132916666667
0.0,4,4,importance,mininet,80,40,topos/cloud_campus_topo_40b-5h-10ibl.json,shortest,red-blue,0.1,final_results/results/npubs-reroute/outputs_4t_0.10f_40s_80p_red-blue_shortest_topo_0.00e_importance,0.593333333333,0.135833333333
