algorithm,sub,run,topic,delay,rcv_rate,sim_exp_delay,prio,utils,subd,prio_prob,mus,ro_tol,lams,ntopics,exp_utils,uws,nffs,lat,loss,nflows,exp_rcv,max_utils,exp_delay,nprios,rcv_lams,util_perc
greedy-naive,ff1,4.5,109.359081403,4.10145153754,0.460853122032,-0.0217471434107,3.913996139,28.1277255701,1.0,1.0,4486.3293912,-1.0,35.0296102981,200.0,0.452065900205,0.652193232381,9.0,10.0,0.0,9.0,35.0296102981,50.4458600355,0.100200184898,9.0,16.9133712826,0.558358041571
greedy-naive,ff2,4.5,106.950426319,1.6598817986,0.42904216849,0.0054581276297,3.913996139,28.3455516127,1.0,1.0,4376.91247791,-1.0,34.4976854934,200.0,0.464874491033,0.670672122849,9.0,10.0,0.0,9.0,34.4976854934,51.8820184459,0.100200911417,9.0,15.9376803923,0.546738404477
greedy-naive,ff3,4.5,107.381241956,1.75915150083,0.445106845729,-0.00366445476962,3.913996139,28.464657183,1.0,1.0,4466.33367294,-1.0,34.8284050008,200.0,0.464134441682,0.669604457321,9.0,10.0,0.0,9.0,34.8284050008,51.7945392168,0.100200176216,9.0,16.1965009872,0.549160149378
greedy-naive,ff4,4.5,106.533019627,0.679008173258,0.445637239887,0.00126063589344,3.913996139,29.0883831266,1.0,1.0,4485.92855239,-1.0,34.6039013683,200.0,0.473790688047,0.683535476065,9.0,10.0,0.0,9.0,34.6039013683,52.8654913521,0.100199994366,9.0,16.1873028505,0.550074808757
greedy-naive,ff5,4.5,107.567599743,4.91960726304,0.46487358275,0.0165484713548,3.913996139,30.1377092655,1.0,1.0,4357.43219748,-1.0,34.4030285193,200.0,0.478241010556,0.689955934279,9.0,10.0,0.0,9.0,34.4030285193,53.3763329591,0.100200641563,9.0,16.738844706,0.565816928726
greedy-naive,ff6,4.5,106.765484234,2.51741879807,0.459391716224,-0.00356917808337,3.913996139,28.8823301548,1.0,1.0,4492.95169185,-1.0,35.0442982843,200.0,0.466281905735,0.67270259306,9.0,10.0,0.0,9.0,35.0442982843,52.0398779402,0.100200092129,9.0,16.8736091581,0.554863939459
greedy-naive,ff7,4.5,106.858462033,5.87792741228,0.466184266529,-0.00160716892802,3.913996139,28.7194776304,1.0,1.0,4469.13446246,-1.0,34.6742950981,200.0,0.455243124731,0.656776998448,9.0,10.0,0.0,9.0,34.6742950981,50.7928047399,0.100200213109,9.0,16.7054512006,0.565393739995
greedy-naive,ff8,4.5,108.24261583,1.87692300682,0.448524769868,0.00687255737477,3.913996139,28.6926538142,1.0,1.0,4496.45104211,-1.0,34.9889637826,200.0,0.466686698113,0.673286585016,9.0,10.0,0.0,9.0,34.9889637826,52.0775285457,0.100199930888,9.0,16.4342171762,0.550769652767
greedy-naive,icp0,4.5,107.118693694,1.80347624744,0.45002632852,-0.00136696237293,3.913996139,29.0344473051,1.0,1.0,4370.33791969,-1.0,34.1399473238,200.0,0.470382569173,0.678618599866,9.0,10.0,0.0,9.0,34.1399473238,52.4919993743,0.100200650969,9.0,16.2295311154,0.552703355614
no-prios,ff0,4.5,107.944264801,0.903884498077,0.584402366224,-0.000634732945229,0.0,23.2096896021,1.0,1.0,4437.42381143,-1.0,34.0619460103,200.0,0.452635604243,0.653015141571,9.0,10.0,0.0,1.0,34.0619460103,50.4214188691,0.0999795653953,1.0,19.8758950059,0.460011393512
no-prios,ff1,4.5,107.429657336,0.907889807409,0.577405649123,-0.000620421718491,0.0,24.3521059472,1.0,1.0,4471.20468782,-1.0,34.3092289591,200.0,0.479638983358,0.691972782708,9.0,10.0,0.0,1.0,34.3092289591,53.4399095744,0.0999796414094,1.0,19.8132171246,0.45568247096
no-prios,ff2,4.5,107.945929858,0.905813651939,0.581578280905,-0.00062929577387,0.0,24.3717699515,1.0,1.0,4456.34822932,-1.0,34.160663784,200.0,0.476307321239,0.687166210291,9.0,10.0,0.0,1.0,34.160663784,53.0621535445,0.0999795026662,1.0,19.8649759469,0.458270899538
no-prios,ff3,4.5,108.365830116,0.920322575846,0.573762515946,-0.000625996338727,0.0,23.2164979777,1.0,1.0,4415.26565153,-1.0,34.0838530345,200.0,0.459881825862,0.663469229566,9.0,10.0,0.0,1.0,34.0838530345,51.2253578018,0.099979536096,1.0,19.5390327338,0.453313483657
no-prios,ff4,4.5,108.19407175,0.895854318559,0.58160124949,-0.000620007060162,0.0,24.5273349393,1.0,1.0,4568.43846814,-1.0,34.5128656833,200.0,0.480436814443,0.693123809657,9.0,10.0,0.0,1.0,34.5128656833,53.5208644857,0.0999795904083,1.0,20.0708087596,0.458367575664
no-prios,ff5,4.5,107.776898327,0.909684966457,0.58135217481,-0.000632728780964,0.0,22.2599862777,1.0,1.0,4476.82341776,-1.0,34.0070604532,200.0,0.436457099553,0.629674493085,9.0,10.0,0.0,1.0,34.0070604532,48.6212976975,0.0999792911917,1.0,19.779464401,0.45817309843
no-prios,ff6,4.5,107.080904118,0.89989760491,0.583115325181,-0.000631344686281,0.0,23.7529945574,1.0,1.0,4508.07981609,-1.0,34.2705926604,200.0,0.464093920747,0.669545997968,9.0,10.0,0.0,1.0,34.2705926604,51.7010972836,0.0999792064846,1.0,19.9685587857,0.459271408683
no-prios,ff7,4.5,107.639438546,0.917485520306,0.571436727999,-0.000616153140314,0.0,23.3331501787,1.0,1.0,4424.76833182,-1.0,34.3134382804,200.0,0.463974255432,0.669373357411,9.0,10.0,0.0,1.0,34.3134382804,51.6874750088,0.0999797864383,1.0,19.6071868413,0.451823574553
no-prios,ff8,4.5,107.887540219,0.9016383429,0.576924400143,-0.000615918178062,0.0,24.0058033455,1.0,1.0,4530.77886704,-1.0,34.6453477836,200.0,0.472593940213,0.681808933899,9.0,10.0,0.0,1.0,34.6453477836,52.65925236,0.0999796688678,1.0,19.9852443679,0.455240856688
no-prios,icp0,4.5,107.961060167,0.910162559206,0.574612888508,-0.000615539904662,0.0,24.2120506507,1.0,1.0,4471.33012239,-1.0,34.36406711,200.0,0.478599699776,0.690473413438,9.0,10.0,0.0,1.0,34.36406711,53.3164364626,0.0999797738569,1.0,19.7368073801,0.453875781678
random,ff0,4.5,106.680614543,3.633135547,0.561672553051,0.00118672533885,4.13763674389,21.1615967129,1.0,1.0,4395.90102947,-1.0,34.9058006044,200.0,0.472591206365,0.68180498979,9.0,10.0,0.0,9.0,34.9058006044,52.739931482,0.100222021689,9.0,19.5320404106,0.403244933324
random,ff1,4.5,106.642511261,6.92509751679,0.551191401508,0.0048667787752,4.0980453668,19.8584694124,1.0,1.0,4353.49543216,-1.0,34.5933531319,200.0,0.469576127302,0.677455150179,9.0,10.0,0.0,9.0,34.5933531319,52.4151078336,0.1002256199,9.0,19.1743737719,0.379056323749
random,ff2,4.5,107.329013835,1.88526082514,0.573776619401,0.0105803348313,4.01727799228,21.376111831,1.0,1.0,4426.84276778,-1.0,34.7602855226,200.0,0.478167177296,0.689849415401,9.0,10.0,0.0,9.0,34.7602855226,53.3593323888,0.100221633371,9.0,19.9245008947,0.399752799321
random,ff3,4.5,106.124396718,2.03379314011,0.557332226821,0.0016772308701,4.01023166023,19.479348715,1.0,1.0,4399.81431437,-1.0,35.2732408247,200.0,0.449231876238,0.648104600058,9.0,10.0,0.0,9.0,35.2732408247,50.1314127803,0.100223145821,9.0,19.925975406,0.390217291998
random,ff4,4.5,106.722619048,7.59556306196,0.560960741282,-0.0980282614445,4.09299388674,21.0490281763,1.0,1.0,4407.94136363,-1.0,34.9092934837,200.0,0.478660401734,0.690560987852,9.0,10.0,0.0,9.0,34.9092934837,53.4203208577,0.100228460958,9.0,19.5047725701,0.39420456101
random,ff5,4.5,107.662129987,1.80300801415,0.559865090111,1.22644644827e-05,3.96112451737,20.9034153917,1.0,1.0,4416.78429981,-1.0,34.1641269573,200.0,0.46150244478,0.665807288443,9.0,10.0,0.0,9.0,34.1641269573,51.4981903446,0.100228097843,9.0,19.3940092384,0.40595159631
random,ff6,4.5,107.993090412,1.09819675675,0.560070961103,0.0022215618609,4.00175353925,21.1634862662,1.0,1.0,4499.55380752,-1.0,35.4233209093,200.0,0.477188321849,0.688437225502,9.0,10.0,0.0,9.0,35.4233209093,53.2487352528,0.100221434992,9.0,20.0004397056,0.398062661683
random,ff7,4.5,107.807054376,4.75624922498,0.576034172416,-0.00200567604954,4.03063867439,20.820234509,1.0,1.0,4477.40594675,-1.0,35.0442790106,200.0,0.464522022574,0.670163618352,9.0,10.0,0.0,9.0,35.0442790106,51.841645928,0.100226923832,9.0,19.8392642503,0.402772167308
random,ff8,4.5,106.263014801,4.95225548075,0.557931808104,0.00607408466618,3.84457850708,19.9881173127,1.0,1.0,4386.45638287,-1.0,35.0306563623,200.0,0.461538062749,0.66585867431,9.0,10.0,0.0,9.0,35.0306563623,51.5058170894,0.100229742604,9.0,19.2834782851,0.387246708507
random,icp0,4.5,108.381073037,7.22994931556,0.564256386707,0.00907011129283,4.02138030888,20.2065445124,1.0,1.0,4477.02349987,-1.0,34.9673887809,200.0,0.452068041293,0.652196321318,9.0,10.0,0.0,9.0,34.9673887809,50.4509057432,0.100225516307,9.0,19.7483383776,0.400938454403
