ro_tol,topic,delay,rcv_rate,sim_exp_delay,prio,utils,subd,prio_prob,mus,lams,ntopics,run,exp_utils,uws,nffs,lat,loss,nflows,exp_rcv,max_utils,exp_delay,nprios,rcv_lams
0.001,108.035040431,0.190189705988,0.69824375208,0.163622498654,3.91734052111,0.225385059118,1.0,0.698245478625,4391.12378586,33.1426108121,200.0,4.50224618149,0.386876296562,0.681639946322,0.0,10.0,0.0,9.0,22.0229915569,0.47247680695,0.111920564845,9.0,22.0221406183
0.01,106.557450628,0.0471394669573,0.692510774113,0.0360547109907,3.91561938959,0.231966139595,1.0,0.692456785784,4518.25601754,32.6151316675,200.0,4.49640933573,0.399639575801,0.708022804681,0.0,10.0,0.0,9.0,21.4442064422,0.490764010837,0.11228741782,9.0,21.4455747435
0.05,107.8,0.0112242405524,0.667652909575,0.00852809767441,3.91479820628,0.213485923284,1.0,0.667643600966,4400.79877546,32.6508334349,200.0,4.4932735426,0.374496674112,0.680083729493,0.0,10.0,0.0,9.0,20.578863292,0.471398119643,0.11365995637,9.0,20.578643012
0.1,107.375268817,0.00614378388655,0.619974924171,0.00470490579901,3.91487455197,0.199848878906,1.0,0.619965126879,4419.9211899,34.6806712288,200.0,4.50089605735,0.358836987451,0.676567653454,9.0,10.0,0.0,9.0,19.9972241195,0.46896096145,0.100453160813,9.0,19.9973045224
0.15,106.852914798,0.00366669530152,0.627958119254,0.00281709911898,3.91479820628,0.207506799211,1.0,0.627910623138,4541.41287903,32.9319522659,200.0,4.49506726457,0.370146258922,0.691688794559,0.0,10.0,0.0,9.0,19.2041963291,0.479442137774,0.118568437798,9.0,19.2056474598
0.2,109.266606822,0.00276118740068,0.596842680506,0.00217181452708,3.91651705566,0.187860251564,1.0,0.596878558008,4360.62485611,32.5145916047,200.0,4.50897666068,0.341648957704,0.658840637171,0.0,10.0,0.0,9.0,18.0552098645,0.456673530093,0.121730906796,9.0,18.0540240965
0.4,107.182959641,0.00137897520685,0.494470843174,0.00113771066561,3.91479820628,0.158882289502,1.0,0.494460202676,4463.71570308,32.3579799142,200.0,4.50224215247,0.312694931374,0.693818780252,0.0,10.0,0.0,9.0,14.2679008164,0.480918531351,0.168952880165,9.0,14.267989852
