nffs,prio,topic,delay,rcv_rate,sim_exp_delay,utils,subd,prio_prob,mus,ro_tol,lams,ntopics,run,exp_utils,uws,lat,loss,nflows,exp_rcv,max_utils,exp_delay,nprios,rcv_lams
100,0,70.4944615385,0.000822778382021,1.0,0.000664663428705,0.496357811801,1.0,1.0,7439.8601576,0.1,20.0603336208,200.0,2.0,0.716092953592,1.03310375296,10.0,0.0,9.0,20.0603336208,0.716092953592,0.10034077001,9.0,20.0603336208
100,1,82.9001538462,0.000974095102423,0.879965025866,0.000796418154752,0.376460739829,1.0,0.879983759657,6116.19718702,0.1,26.9018529899,200.0,2.0,0.596285447528,0.944465846153,10.0,0.0,9.0,23.6741705703,0.654653838396,0.100220832241,9.0,23.6738028839
100,2,95.5190769231,0.00120981607801,0.77433743307,0.000993743613348,0.30853108087,1.0,0.774381936436,5053.54869764,0.1,29.8291580559,200.0,2.0,0.538030958722,0.938235011402,10.0,0.0,9.0,23.0996262799,0.650334952856,0.100192748128,9.0,23.0983776995
100,3,106.391904762,0.00155942073472,0.681555464016,0.00127352422075,0.236562971563,1.0,0.681583286982,4326.94401857,0.1,32.1648703164,200.0,2.0,0.455202438452,0.875954772879,10.0,0.0,9.0,21.926796025,0.607165581119,0.100174847433,9.0,21.9259316463
100,4,115.474666667,0.00209334277503,0.599709368015,0.0016842432869,0.166086210512,1.0,0.599700062803,3792.39727095,0.1,34.0470150354,200.0,2.0,0.35354909218,0.752710826699,10.0,0.0,9.0,20.4180030983,0.521739387303,0.10015812469,9.0,20.4180835459
100,5,119.911166667,0.00301271509837,0.527731257558,0.00237676253913,0.107542542508,1.0,0.5277551163,3512.70646422,0.1,35.4921411105,200.0,2.0,0.253762198886,0.598888919482,10.0,0.0,9.0,18.733086982,0.415118166007,0.100124648649,9.0,18.732103057
100,6,125.230166667,0.00490642214569,0.464470728067,0.00379217570612,0.0649265941483,1.0,0.464447658784,3260.27863404,0.1,36.7758012989,200.0,2.0,0.170188543271,0.446293484815,10.0,0.0,9.0,17.0805523544,0.309347070702,0.100090076385,9.0,17.0812929753
100,7,127.508,0.00982687100027,0.408730639379,0.00745452686713,0.0341856029736,1.0,0.408739950978,2999.76766204,0.1,38.1143866865,200.0,2.0,0.0997450871433,0.291166439143,10.0,0.0,9.0,15.5792146663,0.201821196366,0.100056937642,9.0,15.5791218047
100,8,128.714,0.0335076814227,0.359739325823,0.0250711216609,0.0143490882628,1.0,0.359719019228,2842.86943626,0.1,41.2626978247,200.0,2.0,0.0466808594102,0.151969024705,10.0,0.0,9.0,14.8492137402,0.105336901007,0.100026685882,9.0,14.8499191448
