choicerandseed,const_alg,cost,exp_type,failrandseed,fprob,npublishers,nsubscribers,ntrees,oracle,overlap,randseed,reach,run,select_policy,topo,treatment
667984480798907347,diverse-paths,593.2,networkx,8853665121027057643,0.1,200,400,4,0.735,7847,-1426273912677557294,0.23625,0,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl
667984480798907347,diverse-paths,595.25,networkx,8853665121027057643,0.1,200,400,4,0.745,8092,-1426273912677557294,0.598125,1,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl
667984480798907347,diverse-paths,591.6,networkx,8853665121027057643,0.1,200,400,4,0.81,8098,-1426273912677557294,0.749375,2,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl
667984480798907347,diverse-paths,579.65,networkx,8853665121027057643,0.1,200,400,4,0.785,7911,-1426273912677557294,0.64375,3,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl
667984480798907347,diverse-paths,589.8,networkx,8853665121027057643,0.1,200,400,4,0.75,7857,-1426273912677557294,0.398125,4,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl
667984480798907347,diverse-paths,585.45,networkx,8853665121027057643,0.1,200,400,4,0.8425,8028,-1426273912677557294,0.775625,5,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl
667984480798907347,diverse-paths,593.55,networkx,8853665121027057643,0.1,200,400,4,0.7825,7952,-1426273912677557294,0.584375,6,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl
667984480798907347,diverse-paths,592.85,networkx,8853665121027057643,0.1,200,400,4,0.805,8033,-1426273912677557294,0.726875,7,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl
667984480798907347,diverse-paths,593.5,networkx,8853665121027057643,0.1,200,400,4,0.7875,8135,-1426273912677557294,0.61625,8,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl
667984480798907347,diverse-paths,589.85,networkx,8853665121027057643,0.1,200,400,4,0.7975,7994,-1426273912677557294,0.66375,9,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl
667984480798907347,diverse-paths,591.25,networkx,8853665121027057643,0.1,200,400,4,0.805,8000,-1426273912677557294,0.69375,10,mean,campus_topo_200b-20h-20ibl.json,old_results_networkx/results2/ntrees/results_4t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl
