topo,ntrees,select_policy,exp_type,npublishers,nsubscribers,treatment,const_alg,fprob,choicerandseed,cost,failrandseed,oracle,randseed,reach
campus_topo_200b-20h-20ibl.json,4,max,networkx,200,50,old_results_networkx/results3/nhosts/results_4t_0.10f_50s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,-2.16345975938e+18,104.619,-8.02646750103e+18,0.72,7.15468634399e+18,0.6232
campus_topo_200b-20h-20ibl.json,4,max,networkx,200,50,old_results_networkx/results3/nhosts/results_4t_0.10f_50s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,-5.7328237967e+18,105.5615,2.64807623243e+18,0.741,-7.1143455808e+18,0.6684
campus_topo_200b-20h-20ibl.json,4,max,networkx,200,50,old_results_networkx/results3/nhosts/results_4t_0.10f_50s_200p_steiner_200b-20h-20ibl,steiner,0.1,-5.7328237967e+18,104.4995,2.64807623243e+18,0.741,-7.1143455808e+18,0.6544
campus_topo_200b-20h-20ibl.json,4,max,networkx,200,100,old_results_networkx/results3/nhosts/results_4t_0.10f_100s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,-2.16345975938e+18,192.204,-8.02646750103e+18,0.7246,7.15468634399e+18,0.6246
campus_topo_200b-20h-20ibl.json,4,max,networkx,200,100,old_results_networkx/results3/nhosts/results_4t_0.10f_100s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,-5.7328237967e+18,192.7715,2.64807623243e+18,0.7309,-7.1143455808e+18,0.6551
campus_topo_200b-20h-20ibl.json,4,max,networkx,200,100,old_results_networkx/results3/nhosts/results_4t_0.10f_100s_200p_steiner_200b-20h-20ibl,steiner,0.1,-5.7328237967e+18,190.6785,2.64807623243e+18,0.7309,-7.1143455808e+18,0.6383
campus_topo_200b-20h-20ibl.json,4,max,networkx,200,200,old_results_networkx/results3/nhosts/results_4t_0.10f_200s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,-2.16345975938e+18,341.681,-8.02646750103e+18,0.7208,7.15468634399e+18,0.6296
campus_topo_200b-20h-20ibl.json,4,max,networkx,200,200,old_results_networkx/results3/nhosts/results_4t_0.10f_200s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,-5.7328237967e+18,343.4965,2.64807623243e+18,0.72985,-7.1143455808e+18,0.64955
campus_topo_200b-20h-20ibl.json,4,max,networkx,200,200,old_results_networkx/results3/nhosts/results_4t_0.10f_200s_200p_steiner_200b-20h-20ibl,steiner,0.1,-5.7328237967e+18,340.416,2.64807623243e+18,0.72985,-7.1143455808e+18,0.6393
campus_topo_200b-20h-20ibl.json,4,max,networkx,200,400,old_results_networkx/results3/nhosts/results_4t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,-2.16345975938e+18,589.362,-8.02646750103e+18,0.72605,7.15468634399e+18,0.61695
campus_topo_200b-20h-20ibl.json,4,max,networkx,200,400,old_results_networkx/results3/nhosts/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,-5.7328237967e+18,590.437,2.64807623243e+18,0.735425,-7.1143455808e+18,0.6535
campus_topo_200b-20h-20ibl.json,4,max,networkx,200,400,old_results_networkx/results3/nhosts/results_4t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,-5.7328237967e+18,586.56,2.64807623243e+18,0.735425,-7.1143455808e+18,0.650225
campus_topo_200b-20h-20ibl.json,4,max,networkx,200,800,old_results_networkx/results3/nhosts/results_4t_0.10f_800s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,-2.16345975938e+18,1010.637,-8.02646750103e+18,0.7279,7.15468634399e+18,0.6092
campus_topo_200b-20h-20ibl.json,4,max,networkx,200,800,old_results_networkx/results3/nhosts/results_4t_0.10f_800s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,-5.7328237967e+18,1011.297,2.64807623243e+18,0.7327375,-7.1143455808e+18,0.6494
campus_topo_200b-20h-20ibl.json,4,max,networkx,200,800,old_results_networkx/results3/nhosts/results_4t_0.10f_800s_200p_steiner_200b-20h-20ibl,steiner,0.1,-5.7328237967e+18,1007.556,2.64807623243e+18,0.7327375,-7.1143455808e+18,0.64765
campus_topo_200b-20h-20ibl.json,4,max-overlap-chosen,networkx,200,50,old_results_networkx/results3/nhosts/results_4t_0.10f_50s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,-2.16345975938e+18,104.619,-8.02646750103e+18,0.72,7.15468634399e+18,0.588
campus_topo_200b-20h-20ibl.json,4,max-overlap-chosen,networkx,200,50,old_results_networkx/results3/nhosts/results_4t_0.10f_50s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,-5.7328237967e+18,105.5615,2.64807623243e+18,0.741,-7.1143455808e+18,0.6258
campus_topo_200b-20h-20ibl.json,4,max-overlap-chosen,networkx,200,50,old_results_networkx/results3/nhosts/results_4t_0.10f_50s_200p_steiner_200b-20h-20ibl,steiner,0.1,-5.7328237967e+18,104.4995,2.64807623243e+18,0.741,-7.1143455808e+18,0.602
campus_topo_200b-20h-20ibl.json,4,max-overlap-chosen,networkx,200,100,old_results_networkx/results3/nhosts/results_4t_0.10f_100s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,-2.16345975938e+18,192.204,-8.02646750103e+18,0.7246,7.15468634399e+18,0.592
campus_topo_200b-20h-20ibl.json,4,max-overlap-chosen,networkx,200,100,old_results_networkx/results3/nhosts/results_4t_0.10f_100s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,-5.7328237967e+18,192.7715,2.64807623243e+18,0.7309,-7.1143455808e+18,0.6216
campus_topo_200b-20h-20ibl.json,4,max-overlap-chosen,networkx,200,100,old_results_networkx/results3/nhosts/results_4t_0.10f_100s_200p_steiner_200b-20h-20ibl,steiner,0.1,-5.7328237967e+18,190.6785,2.64807623243e+18,0.7309,-7.1143455808e+18,0.5955
campus_topo_200b-20h-20ibl.json,4,max-overlap-chosen,networkx,200,200,old_results_networkx/results3/nhosts/results_4t_0.10f_200s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,-2.16345975938e+18,341.681,-8.02646750103e+18,0.7208,7.15468634399e+18,0.5788
campus_topo_200b-20h-20ibl.json,4,max-overlap-chosen,networkx,200,200,old_results_networkx/results3/nhosts/results_4t_0.10f_200s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,-5.7328237967e+18,343.4965,2.64807623243e+18,0.72985,-7.1143455808e+18,0.6096
campus_topo_200b-20h-20ibl.json,4,max-overlap-chosen,networkx,200,200,old_results_networkx/results3/nhosts/results_4t_0.10f_200s_200p_steiner_200b-20h-20ibl,steiner,0.1,-5.7328237967e+18,340.416,2.64807623243e+18,0.72985,-7.1143455808e+18,0.58965
campus_topo_200b-20h-20ibl.json,4,max-overlap-chosen,networkx,200,400,old_results_networkx/results3/nhosts/results_4t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,-2.16345975938e+18,589.362,-8.02646750103e+18,0.72605,7.15468634399e+18,0.56805
campus_topo_200b-20h-20ibl.json,4,max-overlap-chosen,networkx,200,400,old_results_networkx/results3/nhosts/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,-5.7328237967e+18,590.437,2.64807623243e+18,0.735425,-7.1143455808e+18,0.608725
campus_topo_200b-20h-20ibl.json,4,max-overlap-chosen,networkx,200,400,old_results_networkx/results3/nhosts/results_4t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,-5.7328237967e+18,586.56,2.64807623243e+18,0.735425,-7.1143455808e+18,0.583125
campus_topo_200b-20h-20ibl.json,4,max-overlap-chosen,networkx,200,800,old_results_networkx/results3/nhosts/results_4t_0.10f_800s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,-2.16345975938e+18,1010.637,-8.02646750103e+18,0.7279,7.15468634399e+18,0.559375
campus_topo_200b-20h-20ibl.json,4,max-overlap-chosen,networkx,200,800,old_results_networkx/results3/nhosts/results_4t_0.10f_800s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,-5.7328237967e+18,1011.297,2.64807623243e+18,0.7327375,-7.1143455808e+18,0.601775
campus_topo_200b-20h-20ibl.json,4,max-overlap-chosen,networkx,200,800,old_results_networkx/results3/nhosts/results_4t_0.10f_800s_200p_steiner_200b-20h-20ibl,steiner,0.1,-5.7328237967e+18,1007.556,2.64807623243e+18,0.7327375,-7.1143455808e+18,0.5895625
campus_topo_200b-20h-20ibl.json,4,max-reachable-chosen,networkx,200,50,old_results_networkx/results3/nhosts/results_4t_0.10f_50s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,-2.16345975938e+18,104.619,-8.02646750103e+18,0.72,7.15468634399e+18,0.5388
campus_topo_200b-20h-20ibl.json,4,max-reachable-chosen,networkx,200,50,old_results_networkx/results3/nhosts/results_4t_0.10f_50s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,-5.7328237967e+18,105.5615,2.64807623243e+18,0.741,-7.1143455808e+18,0.5656
campus_topo_200b-20h-20ibl.json,4,max-reachable-chosen,networkx,200,50,old_results_networkx/results3/nhosts/results_4t_0.10f_50s_200p_steiner_200b-20h-20ibl,steiner,0.1,-5.7328237967e+18,104.4995,2.64807623243e+18,0.741,-7.1143455808e+18,0.5706
campus_topo_200b-20h-20ibl.json,4,max-reachable-chosen,networkx,200,100,old_results_networkx/results3/nhosts/results_4t_0.10f_100s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,-2.16345975938e+18,192.204,-8.02646750103e+18,0.7246,7.15468634399e+18,0.5756
campus_topo_200b-20h-20ibl.json,4,max-reachable-chosen,networkx,200,100,old_results_networkx/results3/nhosts/results_4t_0.10f_100s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,-5.7328237967e+18,192.7715,2.64807623243e+18,0.7309,-7.1143455808e+18,0.5508
campus_topo_200b-20h-20ibl.json,4,max-reachable-chosen,networkx,200,100,old_results_networkx/results3/nhosts/results_4t_0.10f_100s_200p_steiner_200b-20h-20ibl,steiner,0.1,-5.7328237967e+18,190.6785,2.64807623243e+18,0.7309,-7.1143455808e+18,0.5701
campus_topo_200b-20h-20ibl.json,4,max-reachable-chosen,networkx,200,200,old_results_networkx/results3/nhosts/results_4t_0.10f_200s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,-2.16345975938e+18,341.681,-8.02646750103e+18,0.7208,7.15468634399e+18,0.6008
campus_topo_200b-20h-20ibl.json,4,max-reachable-chosen,networkx,200,200,old_results_networkx/results3/nhosts/results_4t_0.10f_200s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,-5.7328237967e+18,343.4965,2.64807623243e+18,0.72985,-7.1143455808e+18,0.59915
campus_topo_200b-20h-20ibl.json,4,max-reachable-chosen,networkx,200,200,old_results_networkx/results3/nhosts/results_4t_0.10f_200s_200p_steiner_200b-20h-20ibl,steiner,0.1,-5.7328237967e+18,340.416,2.64807623243e+18,0.72985,-7.1143455808e+18,0.58555
campus_topo_200b-20h-20ibl.json,4,max-reachable-chosen,networkx,200,400,old_results_networkx/results3/nhosts/results_4t_0.10f_400s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,-2.16345975938e+18,589.362,-8.02646750103e+18,0.72605,7.15468634399e+18,0.59165
campus_topo_200b-20h-20ibl.json,4,max-reachable-chosen,networkx,200,400,old_results_networkx/results3/nhosts/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,-5.7328237967e+18,590.437,2.64807623243e+18,0.735425,-7.1143455808e+18,0.60275
campus_topo_200b-20h-20ibl.json,4,max-reachable-chosen,networkx,200,400,old_results_networkx/results3/nhosts/results_4t_0.10f_400s_200p_steiner_200b-20h-20ibl,steiner,0.1,-5.7328237967e+18,586.56,2.64807623243e+18,0.735425,-7.1143455808e+18,0.58975
campus_topo_200b-20h-20ibl.json,4,max-reachable-chosen,networkx,200,800,old_results_networkx/results3/nhosts/results_4t_0.10f_800s_200p_diverse-paths_200b-20h-20ibl,diverse-paths,0.1,-2.16345975938e+18,1010.637,-8.02646750103e+18,0.7279,7.15468634399e+18,0.5819
campus_topo_200b-20h-20ibl.json,4,max-reachable-chosen,networkx,200,800,old_results_networkx/results3/nhosts/results_4t_0.10f_800s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,-5.7328237967e+18,1011.297,2.64807623243e+18,0.7327375,-7.1143455808e+18,0.6048125
