topo,ntrees,select_policy,exp_type,npublishers,nsubscribers,treatment,const_alg,fprob,choicerandseed,failrandseed,oracle,randseed,reach
campus_topo_200b-20h-20ibl.json,4,max-reachable-chosen,networkx,200,400,old_results_networkx/results4/fprob/results_4t_0.35f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.35,-1.04773985266e+17,-2.7150771783e+18,0.19745,-8.76173726093e+18,0.11155
campus_topo_200b-20h-20ibl.json,4,max-reachable-chosen,networkx,200,400,old_results_networkx/results4/fprob/results_4t_0.50f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.5,-1.04773985266e+17,-2.7150771783e+18,0.0481,-8.76173726093e+18,0.02265
campus_topo_200b-20h-20ibl.json,4,min-missing-chosen,networkx,200,400,old_results_networkx/results4/fprob/results_4t_0.05f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.05,-1.04773985266e+17,-2.7150771783e+18,0.8891,-8.76173726093e+18,0.80825
campus_topo_200b-20h-20ibl.json,4,min-missing-chosen,networkx,200,400,old_results_networkx/results4/fprob/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.1,-1.04773985266e+17,-2.7150771783e+18,0.77175,-8.76173726093e+18,0.6347
campus_topo_200b-20h-20ibl.json,4,min-missing-chosen,networkx,200,400,old_results_networkx/results4/fprob/results_4t_0.15f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.15,-1.04773985266e+17,-2.7150771783e+18,0.6285,-8.76173726093e+18,0.47095
campus_topo_200b-20h-20ibl.json,4,min-missing-chosen,networkx,200,400,old_results_networkx/results4/fprob/results_4t_0.20f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.2,-1.04773985266e+17,-2.7150771783e+18,0.5049,-8.76173726093e+18,0.3501
campus_topo_200b-20h-20ibl.json,4,min-missing-chosen,networkx,200,400,old_results_networkx/results4/fprob/results_4t_0.25f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.25,-1.04773985266e+17,-2.7150771783e+18,0.36275,-8.76173726093e+18,0.24215
campus_topo_200b-20h-20ibl.json,4,min-missing-chosen,networkx,200,400,old_results_networkx/results4/fprob/results_4t_0.35f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.35,-1.04773985266e+17,-2.7150771783e+18,0.19745,-8.76173726093e+18,0.11895
campus_topo_200b-20h-20ibl.json,4,min-missing-chosen,networkx,200,400,old_results_networkx/results4/fprob/results_4t_0.50f_400s_200p_red-blue_200b-20h-20ibl,red-blue,0.5,-1.04773985266e+17,-2.7150771783e+18,0.0481,-8.76173726093e+18,0.02745
campus_topo_200b-20h-20ibl.json,4,oracle,networkx,200,400,old_results_networkx/results4/fprob/results_4t_0.05f_400s_200p_red-blue_200b-20h-20ibl,oracle,0.05,-1.04773985266e+17,-2.7150771783e+18,0.8891,-8.76173726093e+18,0.8891
campus_topo_200b-20h-20ibl.json,4,oracle,networkx,200,400,old_results_networkx/results4/fprob/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl,oracle,0.1,-1.04773985266e+17,-2.7150771783e+18,0.77175,-8.76173726093e+18,0.77175
campus_topo_200b-20h-20ibl.json,4,oracle,networkx,200,400,old_results_networkx/results4/fprob/results_4t_0.15f_400s_200p_red-blue_200b-20h-20ibl,oracle,0.15,-1.04773985266e+17,-2.7150771783e+18,0.6285,-8.76173726093e+18,0.6285
campus_topo_200b-20h-20ibl.json,4,oracle,networkx,200,400,old_results_networkx/results4/fprob/results_4t_0.20f_400s_200p_red-blue_200b-20h-20ibl,oracle,0.2,-1.04773985266e+17,-2.7150771783e+18,0.5049,-8.76173726093e+18,0.5049
campus_topo_200b-20h-20ibl.json,4,oracle,networkx,200,400,old_results_networkx/results4/fprob/results_4t_0.25f_400s_200p_red-blue_200b-20h-20ibl,oracle,0.25,-1.04773985266e+17,-2.7150771783e+18,0.36275,-8.76173726093e+18,0.36275
campus_topo_200b-20h-20ibl.json,4,oracle,networkx,200,400,old_results_networkx/results4/fprob/results_4t_0.35f_400s_200p_red-blue_200b-20h-20ibl,oracle,0.35,-1.04773985266e+17,-2.7150771783e+18,0.19745,-8.76173726093e+18,0.19745
campus_topo_200b-20h-20ibl.json,4,oracle,networkx,200,400,old_results_networkx/results4/fprob/results_4t_0.50f_400s_200p_red-blue_200b-20h-20ibl,oracle,0.5,-1.04773985266e+17,-2.7150771783e+18,0.0481,-8.76173726093e+18,0.0481
campus_topo_200b-20h-20ibl.json,4,unicast,networkx,200,400,old_results_networkx/results4/fprob/results_4t_0.05f_400s_200p_red-blue_200b-20h-20ibl,unicast,0.05,-1.04773985266e+17,-2.7150771783e+18,0.8891,-8.76173726093e+18,0.77915
campus_topo_200b-20h-20ibl.json,4,unicast,networkx,200,400,old_results_networkx/results4/fprob/results_4t_0.10f_400s_200p_red-blue_200b-20h-20ibl,unicast,0.1,-1.04773985266e+17,-2.7150771783e+18,0.77175,-8.76173726093e+18,0.5839
campus_topo_200b-20h-20ibl.json,4,unicast,networkx,200,400,old_results_networkx/results4/fprob/results_4t_0.15f_400s_200p_red-blue_200b-20h-20ibl,unicast,0.15,-1.04773985266e+17,-2.7150771783e+18,0.6285,-8.76173726093e+18,0.41805
campus_topo_200b-20h-20ibl.json,4,unicast,networkx,200,400,old_results_networkx/results4/fprob/results_4t_0.20f_400s_200p_red-blue_200b-20h-20ibl,unicast,0.2,-1.04773985266e+17,-2.7150771783e+18,0.5049,-8.76173726093e+18,0.31405
campus_topo_200b-20h-20ibl.json,4,unicast,networkx,200,400,old_results_networkx/results4/fprob/results_4t_0.25f_400s_200p_red-blue_200b-20h-20ibl,unicast,0.25,-1.04773985266e+17,-2.7150771783e+18,0.36275,-8.76173726093e+18,0.20355
campus_topo_200b-20h-20ibl.json,4,unicast,networkx,200,400,old_results_networkx/results4/fprob/results_4t_0.35f_400s_200p_red-blue_200b-20h-20ibl,unicast,0.35,-1.04773985266e+17,-2.7150771783e+18,0.19745,-8.76173726093e+18,0.0943
campus_topo_200b-20h-20ibl.json,4,unicast,networkx,200,400,old_results_networkx/results4/fprob/results_4t_0.50f_400s_200p_red-blue_200b-20h-20ibl,unicast,0.5,-1.04773985266e+17,-2.7150771783e+18,0.0481,-8.76173726093e+18,0.0231
